# class_weight=balanced
,max_depth,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
46, 49,0.8779714738510301,0.557471264367816,0.8738738738738738,0.4092827004219409,0.5455314137590249,0.8926376453637954,0.7336296603252914
47, 50,0.8779714738510301,0.557471264367816,0.8738738738738738,0.4092827004219409,0.5455314137590249,0.8922548111557066,0.731213710472727
48, 51,0.8771790808240888,0.5481049562682215,0.8867924528301887,0.39662447257383965,0.5419653531381268,0.892203354944942,0.7346087095394137
49, 52,0.8763866877971473,0.5465116279069767,0.8785046728971962,0.39662447257383965,0.5382925060844249,0.8915673561798909,0.730933961276153
50, 53,0.8787638668779715,0.5539358600583091,0.8962264150943396,0.4008438818565401,0.549279966913289,0.8862138520119378,0.7298863199491377
51, 54,0.8748019017432647,0.5511363636363635,0.8434782608695652,0.4092827004219409,0.5315977506922088,0.8864052691159823,0.7248110635871069
52, 55,0.8811410459587956,0.5689655172413792,0.8918918918918919,0.4177215189873418,0.5598583752532739,0.8957456004939797,0.7350311170782524
53, 56,0.8787638668779715,0.56657223796034,0.8620689655172413,0.4219409282700422,0.549281463593326,0.8963198518061131,0.7437097073741182
54, 57,0.8811410459587956,0.5689655172413792,0.8918918918918919,0.4177215189873418,0.5598583752532739,0.8922218791808172,0.7318143985784242
55, 58,0.8803486529318542,0.5722379603399433,0.8706896551724138,0.42616033755274263,0.5563041284943956,0.8882144694864671,0.7340301586550919
56, 59,0.8787638668779715,0.5616045845272206,0.875,0.41350210970464135,0.5491213050332968,0.8921807142122054,0.7348189030037389
57, 60,0.8835182250396196,0.5787965616045846,0.9017857142857143,0.42616033755274263,0.5705248925313001,0.8926088298857673,0.7396152883231402
