# class_weight=balanced
,max_depth,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
26, 29,0.8429752066115702,0.8342059336823734,0.8581687612208259,0.8115449915110357,0.6862547435363522,0.932518884869959,0.9321524455664303
27, 30,0.8504132231404958,0.8410886742756805,0.8709090909090909,0.8132427843803056,0.7015716785739241,0.9325598943595548,0.9308291003196036
28, 31,0.8429752066115702,0.8327464788732394,0.8647166361974405,0.8030560271646859,0.686817613144867,0.9316932271460949,0.9327158438093821
29, 32,0.8479338842975207,0.8380281690140845,0.870201096892139,0.8081494057724957,0.6967843444497233,0.9299421219403503,0.9292865324025628
30, 33,0.8471074380165289,0.8384279475982532,0.8633093525179856,0.8149405772495756,0.6945970015757277,0.9326132066960294,0.9315881576445731
31, 34,0.8454545454545455,0.8369659982563208,0.8602150537634409,0.8149405772495756,0.6911844496944337,0.9329071080381334,0.9323024403033139
32, 35,0.8380165289256198,0.8289703315881326,0.8527827648114902,0.8064516129032258,0.6763025459588295,0.9303932263259052,0.9307579182032139
33, 36,0.8537190082644628,0.8440528634361233,0.8772893772893773,0.8132427843803056,0.7084825600307325,0.9310384422955472,0.9308238411918303
34, 37,0.8504132231404958,0.8424717145343777,0.8642857142857143,0.8217317487266553,0.7010458146317585,0.9309468544354497,0.9307779566594931
35, 38,0.8528925619834711,0.8446771378708552,0.8689407540394973,0.8217317487266553,0.7061591386913975,0.9331955414482911,0.9320767471634706
36, 39,0.8429752066115702,0.8336252189141857,0.8607594936708861,0.8081494057724957,0.686456845039489,0.9306638889572381,0.9291376134486014
37, 40,0.8446280991735537,0.8359511343804537,0.8599640933572711,0.8132427843803056,0.6895721427288597,0.9312489576754728,0.9288479528853538
38, 41,0.8487603305785124,0.8396143733567046,0.8677536231884058,0.8132427843803056,0.6981311288748189,0.930596906790898,0.9295351362484175
39, 42,0.843801652892562,0.834934497816594,0.8597122302158273,0.8115449915110357,0.6879613183033988,0.9314526381404659,0.9309542541705371
40, 43,0.8504132231404958,0.8419213973799128,0.8669064748201439,0.8183361629881154,0.7012326848480566,0.9369533776782615,0.9356792259842934
41, 44,0.843801652892562,0.8340649692712906,0.8636363636363636,0.8064516129032258,0.6882889101327655,0.9327854465523322,0.9315836390790623
42, 45,0.8553719008264463,0.8455428067078552,0.8805147058823529,0.8132427843803056,0.7119531561179882,0.9326774548963963,0.9327299436659271
43, 46,0.8570247933884297,0.8491717523975589,0.8727598566308243,0.8268251273344652,0.7144032119948877,0.9346486443629721,0.9313721937860663
44, 47,0.8462809917355372,0.8385416666666666,0.8579040852575488,0.8200339558573854,0.6926387666202465,0.9320937531611482,0.9304962047696068
45, 48,0.8570247933884297,0.8496959165942658,0.8701067615658363,0.830220713073005,0.7142253752014084,0.9346855529036086,0.9323595657472361
46, 49,0.8462809917355372,0.8385416666666666,0.8579040852575488,0.8200339558573854,0.6926387666202465,0.9332830283594291,0.9318377482097624
47, 50,0.8446280991735537,0.8373702422145329,0.8536155202821869,0.8217317487266553,0.6891965029225583,0.9309796620271263,0.9288212260504533
48, 51,0.8528925619834711,0.8444055944055945,0.8702702702702703,0.8200339558573854,0.7062617247072043,0.9334306625219742,0.9325581186065334
49, 52,0.8454545454545455,0.8366812227074236,0.8615107913669064,0.8132427843803056,0.6912791599395632,0.9328578966506184,0.9305619417539077
