# fix_model_params={'verbose': 0}
# main_metric=mcc
# model_params=[Integer(low=4, high=12, prior='uniform', transform='identity'), Real(low=2.0, high=10.0, prior='uniform', transform='identity'), Real(low=1, high=6, prior='uniform', transform='identity')]
# preprocessing_params=None
,max_depth,l2_leaf_reg,scale_pos_weight,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score,val_average_precision_score
28,12,9.501106361670608,1.9762409009713704,0.01665175806739533,0.04885777588616108,0.03929756387140887,0.9843846982122546,0.8111658456486043,0.8067226890756303,0.7655502392344498,0.8525754884547069,0.6266273164979265,0.89449378330373,0.8694428874749769
29,11,7.554200277945669,5.128027658263272,0.03266041489826995,0.043340561813534226,0.019471415005240297,0.9946978689966063,0.7898193760262726,0.7987421383647799,0.7165021156558533,0.9023090586145648,0.6019078273080771,0.8940870201890093,0.8721091602701625
30,7,3.103817430248987,1.224230829138553,0.013249207958869283,0.04631010425614281,0.021060657471608134,0.9961406859560447,0.8185550082101807,0.8106255355612682,0.7831125827814569,0.8401420959147424,0.6383348860660449,0.8990332596640137,0.8800650563930068
31,7,3.9588459095800936,1.1917466380995114,0.0017022367766652171,0.038393993731817525,0.04625986462229184,0.9876050056853891,0.8160919540229885,0.809199318568995,0.7774140752864157,0.8436944937833037,0.6342472608031196,0.8966821688609278,0.8730325849228165
32,10,3.434661907457637,1.9338500986979565,0.044878765526106014,0.04575617305990076,0.028885530756530074,0.9987341093748116,0.8152709359605911,0.81044650379107,0.7708333333333334,0.8543516873889876,0.6344065613705603,0.8983146448280069,0.8753606477435085
33,6,6.264184675853321,1.9984844295727386,0.048807374273636274,0.04654302270852199,0.016072755520780156,0.999412441874494,0.8111658456486043,0.813915857605178,0.7473997028231798,0.8934280639431617,0.6355947166443829,0.8959716892872156,0.8757666941747922
34,7,7.5448619175540586,2.192124949540846,0.010147935695918955,0.043109753949154055,0.029327817395382243,0.9963719468181621,0.8004926108374384,0.8032388663967611,0.7380952380952381,0.8809946714031972,0.6138365511972717,0.8966252220248668,0.8783032998506662
35,5,3.8031454160709948,4.064053428717989,0.036752214249386364,0.04866811394348273,0.004881303669201365,0.9978688347378653,0.7733990147783252,0.7915407854984894,0.6885676741130092,0.9307282415630551,0.5858108848546253,0.889417379632015,0.8642136535593907
36,5,3.934206051190762,2.3003853676756103,0.02870995266719568,0.04654354839985191,0.02313137663565157,0.9975597481679265,0.7955665024630542,0.8009592326139088,0.7281976744186046,0.8898756660746003,0.6077883988544133,0.893571786910363,0.87010174134071
37,5,4.145122970275553,1.4331836415546393,0.03470465712244199,0.04749652219187373,0.0003998589421051691,0.9865738755323606,0.8103448275862069,0.8073394495412843,0.7610062893081762,0.8596802841918295,0.6264422329859749,0.8955486556479059,0.8730479941742536
38,6,9.080869884283299,1.8476611323291383,0.0005592470955235186,0.049209166475366474,0.016838122796991744,0.9953447568923411,0.8087027914614121,0.8091728091728092,0.7507598784194529,0.8774422735346359,0.6273030465532436,0.8949222404512358,0.8731992818125947
39,8,2.9249604532423774,1.8778616316199463,0.023324651425567455,0.03710558104617672,0.04655086995647905,0.9981768041840903,0.8078817733990148,0.8072487644151565,0.7526881720430108,0.8703374777975134,0.6242380928258837,0.8957194961560885,0.8767912925194978
40,7,3.7854591536375026,1.5599725126847217,0.03893903974956535,0.047980032738461575,0.019666607791204604,0.8824335224493166,0.8144499178981938,0.8119800332778703,0.7636932707355243,0.866785079928952,0.6352042998610592,0.9003023605819425,0.8792210050064757
41,5,3.9717153765865025,1.8657093412816455,0.04285245197365765,0.02917985195753538,0.02801840934907235,0.9816296485615417,0.8013136288998358,0.8026101141924961,0.7420814479638009,0.8738898756660746,0.6134869850138496,0.893533822352989,0.8728733200269225
42,7,2.440655877521877,2.0363767856462798,0.02343408184905079,0.04671565662860255,0.023035769582733456,0.9539359160572721,0.8095238095238095,0.8095238095238095,0.7526717557251908,0.8756660746003553,0.6283378303255461,0.8976556885821594,0.8770237963478709
43,10,3.5374787401972836,2.049657815113011,0.006010926369433052,0.0470489323663485,0.021999132632334745,0.9972010001582191,0.8152709359605911,0.8132780082987552,0.7632398753894081,0.8703374777975134,0.6373894704489115,0.8963377760904642,0.8727016395939803
44,6,2.5070063321371068,3.548928419037617,0.010037991825743933,0.047133623435978454,0.0009610655443308859,0.9862865540964738,0.7857142857142857,0.7981438515081207,0.7068493150684931,0.91651865008881,0.6000798988876039,0.8903583583040688,0.8665702672499043
45,11,2.0323608021031765,2.1148154555974763,0.028881906081779367,0.04818819969075079,0.028309507035917437,0.9970104550213441,0.8103448275862069,0.8073394495412843,0.7610062893081762,0.8596802841918295,0.6264422329859749,0.8942226078939162,0.8723714051467655
46,6,3.052741660195685,1.9934280379527018,0.018112877915523094,0.04964237279621167,0.016947964117440793,0.9953191130736135,0.8029556650246306,0.8042414355628059,0.7435897435897436,0.8756660746003553,0.6167934900240797,0.8958930484183694,0.8744705965780675
47,7,8.748012195510551,1.2038668682214717,0.01402901433691763,0.009597118379624127,0.04356499911547599,0.9349131787853513,0.8119868637110016,0.8041060735671515,0.7755775577557755,0.8348134991119005,0.6253958048056985,0.8945615771561833,0.8706640872276529
48,8,3.8937094528511262,1.7916239918764756,0.011872064425751118,0.04975263541457873,0.022484226489099507,0.8626509865432502,0.8119868637110016,0.8090075062552127,0.7625786163522013,0.8614564831261101,0.6297389554751166,0.9010941927785988,0.8816979276374962
49,6,5.848769907223982,2.1095616795028045,0.023966187648317094,0.04426021262944829,0.007465075940124151,0.9992367595469017,0.8111658456486043,0.8148148148148148,0.7452135493372607,0.8987566607460036,0.6370437675354107,0.8954564560085692,0.8733010213545973
