,max_depth,objective,colsample_bytree,subsample,n_estimators,learning_rate,gamma,var_threshold_continuous,var_threshold_discrete,var_threshold_fingerprint,corr_threshold,val_accuracy,val_f1,val_precision,val_recall,val_mcc,val_roc_auc_score
10,10,binary:logistic,0.24618462886154335,0.9819779695857649,10000,0.1255378344403427,1.9947788792232712,0.0035721498148440283,0.031282477780438134,0.049939007825753286,0.8858251432736218,0.8152709359605911,0.8021108179419526,0.794425087108014,0.8099467140319716,0.6290345726077802,0.891847111303947
11,30,binary:logistic,0.12656374376942092,0.7722689799533298,3000,0.43219436376561043,1.5588205322921822,0.03335703769358961,0.026983131861429498,0.03255365722202251,0.9743719776394578,0.7988505747126436,0.7810545129579982,0.7859712230215827,0.7761989342806395,0.595078957663162,0.8710316868466367
12,100,binary:logistic,0.051269542288499836,0.9962891034020375,5000,0.008776146638313675,1.0522151792735548,0.004722358707425412,0.040402025925006885,0.022247073152196244,0.9377027233422988,0.825944170771757,0.8140350877192982,0.804159445407279,0.8241563055062167,0.6506745334408515,0.8978156820739495
13,30,binary:logistic,0.4235979186274546,0.9522690870354942,100,0.4832607194445414,0.526969051171729,0.0012363138234364637,0.02205274871758109,0.0018573550467687774,0.9658508317586338,0.8111658456486043,0.7968197879858657,0.7926186291739895,0.8010657193605684,0.6204790919826302,0.8820658142719618
14,30,binary:logistic,0.05612197227814905,0.075014910763953,5000,0.06913752738449136,0.3505357833148051,0.023973326747914008,0.006383097232553215,0.04615131566082549,0.8662580426363591,0.7988505747126436,0.782993799822852,0.7809187279151943,0.7850799289520426,0.5955513898434408,0.8671037110354832
15,30,binary:logistic,0.7601858257630253,0.9932253612169464,100,0.12857382224053276,1.7109179677828115,0.011806765375345632,0.011595554171455988,0.030255120327180657,0.8441274722189737,0.8185550082101807,0.8083261058109279,0.7898305084745763,0.827708703374778,0.6368820234383655,0.8951079956069583
16,50,binary:logistic,0.10637351292926243,0.7189922589750675,5000,0.37956280509399654,0.9731265209589048,0.003115570780015842,0.04778114255156602,0.03787323527651792,0.9088792772684662,0.8013136288998358,0.7839285714285713,0.7881508078994613,0.7797513321492007,0.6000772662791185,0.8799343755508249
17,20,binary:logistic,0.18682104691384357,0.9926221844174206,100,0.1274713945265265,0.021648087692650368,0.02869763238357554,0.04813309777407028,0.01233360944423982,0.8626944465954282,0.8177339901477833,0.8045774647887325,0.7975567190226877,0.8117229129662522,0.6339192641005467,0.8904397109270132
18,100,binary:logistic,0.9660218537047095,0.5255453840832983,100,0.07228639359974373,0.6396524502176036,0.009291282854831507,0.045163212470196744,0.04367545127968575,0.942338463113979,0.8136288998357963,0.8,0.7937062937062938,0.8063943161634103,0.6256083237397337,0.8894716147139776
19,10,binary:logistic,0.07257062213550883,0.9949758580265589,100,0.4856069548529766,0.8407291981025538,0.026270981100811275,0.013389524257339887,0.01917393523058207,0.9309959187533999,0.7996715927750411,0.7844522968197881,0.7803163444639719,0.7886323268206039,0.5973748353813841,0.876482312583895
20,10,binary:logistic,0.08728503625104948,0.4135972618824274,100,0.07975136110810284,0.30209609281910527,0.012338645452545757,0.0110094511333471,0.014830140343666268,0.9553415243737197,0.812807881773399,0.8003502626970227,0.7892918825561313,0.8117229129662522,0.6244346838115539,0.8879693029436092
21,50,binary:logistic,0.5261628799669721,0.11490632087788519,100,0.06272901460818861,1.946364568484426,0.016374514366306773,0.009891366717862117,0.047893307885339714,0.9531545015655813,0.7988505747126436,0.7845206684256817,0.7770034843205574,0.7921847246891652,0.5960452376165951,0.8705191653220885
22,10,binary:logistic,0.7449854305110254,0.1261998513892582,5000,0.3237655091458008,0.7046532929451198,0.0050742639879497245,0.011962166423175704,0.020227303180714105,0.8994067545396678,0.7454844006568144,0.7261484098939929,0.7223198594024605,0.7300177619893428,0.4884547685469386,0.8283649478665275
23,10,binary:logistic,0.5292995183132897,0.33440639880889905,500,0.17320945110636027,0.17943425494597334,0.005366559225042268,0.03274559362301306,0.040624615521710476,0.8966519549479874,0.8103448275862069,0.7979002624671916,0.7862068965517242,0.8099467140319716,0.6195635947604095,0.8812631350589128
24,10,binary:logistic,0.7450310564168524,0.5443199779987139,10000,0.4054698556520428,0.5267166917480518,0.003433205914786503,0.011184439780925778,0.01571492884012687,0.8509664480043041,0.7857142857142857,0.768,0.7686832740213523,0.7673179396092362,0.5689164000941863,0.8602931406180088
25,10,binary:logistic,0.06919741587177101,0.30731645896176507,100,0.2243689610766186,0.36950305510332987,0.0015285849010434507,0.049359820335714365,0.022598566857302327,0.8561303173672785,0.7906403940886699,0.7725245316681535,0.7759856630824373,0.7690941385435168,0.5786350797231646,0.86639458733882
26,100,binary:logistic,0.7940516314525434,0.07979050756201717,1000,0.17161142091926243,0.5487593106516339,0.00694067233252806,0.022948276195750787,0.003631376403853943,0.885981550415301,0.7577996715927751,0.7414548641542507,0.7318339100346021,0.7513321492007105,0.5138867907512726,0.8330522148251596
27,10,binary:logistic,0.15292896520248606,0.051696875042781996,1000,0.06575703182289638,0.1291377362174109,0.017752388613885242,0.029139012983200367,0.027682191790675555,0.926443416014505,0.7692939244663383,0.7532923617208077,0.7447916666666666,0.7619893428063943,0.5368148745612069,0.8520927962252384
28,10,binary:logistic,0.8679127257297595,0.1951278183377645,5000,0.10361913687209348,0.9699773804090372,0.040434244922594585,0.0008742794613138484,0.031716662817866934,0.9494693213940858,0.7963875205254516,0.7832167832167833,0.7710843373493976,0.7957371225577264,0.5916161750400042,0.8743264680758751
29,20,binary:logistic,0.5033937313151166,0.365464982680344,100,0.3648273303378836,0.2846603907015904,0.030095044794991747,0.019378200379483554,0.046536045760631535,0.9833456955741045,0.7561576354679803,0.7374005305039788,0.7341549295774648,0.7406749555950266,0.5098399861310681,0.8420281208899977
30,10,binary:logistic,0.514114365917036,0.028295397435248497,100,0.12316185546252778,1.9623429993131014,0.03005071807463745,0.004299769860259401,0.046288823962215446,0.9547530680857682,0.7561576354679803,0.7383259911894272,0.7325174825174825,0.7442273534635879,0.5101231553769628,0.8322522473662088
31,50,binary:logistic,0.8530330931127343,0.39737104016027874,100,0.13549761447722505,0.9741722159654518,0.03443490053629258,0.027203940995733034,0.0461825156282527,0.8918131530041045,0.8029556650246306,0.7898423817863397,0.7789291882556131,0.8010657193605684,0.6046497783088427,0.8795845592721652
32,10,binary:logistic,0.5786890590091934,0.236210506871467,10000,0.1557273041055943,0.8933210294468246,0.027488906446515783,0.038909602208661416,0.015431095222597183,0.8955405233462463,0.7906403940886699,0.7741364038972542,0.7720848056537103,0.7761989342806395,0.5790427827366553,0.8726722980760105
33,10,binary:logistic,0.9219500234606663,0.857687041867752,10000,0.03264093775801746,0.044175219344811285,0.04975921636332364,0.03696603573084675,0.049266615142740625,0.9982150665721896,0.8144499178981938,0.8027923211169284,0.7890222984562607,0.8170515097690941,0.6280402197147223,0.890792238959771
34,10,binary:logistic,0.5376537400652418,0.26744364423930295,3000,0.26941416491899217,0.3577619682384901,0.006201888335892842,0.013440424397398235,0.04778234858527638,0.9799331368671741,0.7931034482758621,0.7741935483870969,0.7811934900542495,0.7673179396092362,0.5833925025494401,0.8646983851504346
35,100,binary:logistic,0.8756665287121319,0.46721594048523707,100,0.2752385751622154,0.4509028017984179,0.0009718879049720521,0.029987687347588592,0.041223222320384105,0.872207180205758,0.7996715927750411,0.7863397548161121,0.7754749568221071,0.7975133214920072,0.5980548098079389,0.8705191653220887
36,50,binary:logistic,0.9854781650083347,0.20365373398712794,3000,0.27759537718938665,1.1143962253154684,0.038783268318655896,0.0031168570049709306,0.047515473782421574,0.9276562271908751,0.7701149425287356,0.7513321492007105,0.7513321492007105,0.7513321492007105,0.5375916911854433,0.8480305885862269
37,10,binary:logistic,0.4653983996618904,0.6055048896889591,5000,0.4914196117088806,1.9916272089915255,0.03160337633137618,0.03707340585887523,0.04084891035562688,0.8233838408739167,0.7955665024630542,0.7802294792586054,0.775438596491228,0.7850799289520426,0.5891849501028362,0.865960706683118
38,10,binary:logistic,0.6665886011273068,0.122168749584841,5000,0.1796841845457839,0.08776134476226717,0.01784079798701203,0.03163600455874106,0.038010182405638235,0.9759385047790793,0.784072249589491,0.766637089618456,0.7659574468085106,0.7673179396092362,0.5657214249263148,0.8487844562255095
39,20,binary:logistic,0.6826784194062504,0.013825942114980538,100,0.1006578932968606,0.02082387406043629,0.0020219598647426788,0.028121215344317614,0.038402837985162364,0.8667316376176387,0.7430213464696224,0.7256792287467134,0.7162629757785467,0.7353463587921847,0.48420698569218174,0.8211679524900684
40,100,binary:logistic,0.18175983927450515,0.2424355270140045,100,0.06983607281884202,0.618100636113979,0.03130801325211041,0.0478507367100741,0.021760880256887414,0.8585557879097979,0.7988505747126436,0.7852760736196319,0.7750865051903114,0.7957371225577264,0.5963306936931918,0.8799370873049231
41,50,binary:logistic,0.22879387646669389,0.19388381966184928,100,0.05762436321688498,0.7144949185894568,0.0030386103995637633,0.021740424159102226,0.038294057716816314,0.9163641710938847,0.8177339901477833,0.8042328042328042,0.7985989492119089,0.8099467140319716,0.6337969740774692,0.8862554743535856
42,50,binary:logistic,0.859595940871813,0.15421147248762587,100,0.09047579581739569,0.25158624636823307,0.0023790089006791196,0.017697005328770065,0.04761399033925778,0.9632734393140748,0.7963875205254516,0.7828371278458844,0.772020725388601,0.7939609236234458,0.5914598413070352,0.8676745352731413
43,50,binary:logistic,0.46728847261907436,0.039834600384925194,100,0.054355401812127946,1.7093262531715703,0.027880159518263864,0.022048236992982972,0.03161759790180483,0.8168319142771108,0.7848932676518884,0.7701754385964912,0.7608318890814558,0.7797513321492007,0.568223609211348,0.8628774422735346
44,30,binary:logistic,0.6000391997732594,0.15663071072804327,100,0.10550131227771617,0.6099161533481637,0.0060540455749125985,0.0070557951657459666,0.034279904869059345,0.8905960863898267,0.7996715927750411,0.7844522968197881,0.7803163444639719,0.7886323268206039,0.5973748353813841,0.8736512413054385
45,30,binary:logistic,0.9107462653398454,0.4786907197524498,100,0.36572043878925625,1.2843487406258716,0.007283599173380324,0.040214506297883514,0.04859573563869773,0.9565667098815499,0.7922824302134647,0.7778753292361722,0.7690972222222222,0.7868561278863233,0.5829914499267733,0.8628028690358359
46,50,binary:logistic,0.4137294786806554,0.15202129915333018,100,0.2613884294372013,0.7388079911043482,0.011123929899409248,0.006907007650004722,0.04877930106451781,0.9143128834088123,0.7692939244663383,0.7524229074889868,0.7465034965034965,0.7584369449378331,0.5365197652884534,0.8407088525212535
47,20,binary:logistic,0.4904064375489319,0.9793464322452473,100,0.2869413407073919,0.1889998478558806,0.04566408849462689,0.030435280156000694,0.04813704911731624,0.8491272434030385,0.8087027914614121,0.7950747581354441,0.7874564459930313,0.8028419182948491,0.6158388386113061,0.8908979973695984
48,20,binary:logistic,0.08550815664114635,0.5464886757034128,500,0.1495591979820628,0.2657467167087702,0.029638402880048265,0.01659701790301068,0.003823249137500324,0.8812489774496121,0.8152709359605911,0.8,0.800711743772242,0.7992895204262878,0.6283763951157096,0.8920098165498352
49,20,binary:logistic,0.20662936265771528,0.381925909244371,5000,0.39119153378780125,0.23982560923650814,0.022178436925774463,0.023164092802531386,0.01961777884055971,0.8879108909525335,0.7742200328407225,0.7606614447345517,0.7457337883959044,0.7761989342806395,0.54754109685547,0.8390316326115548
